Company/Brand,Sector,Stage,Amount ($),HeadQuarter,What it does,Year of Funding,Amount(USD)
BuyForexOnline,Travel,https://docs.google.com/spreadsheets/d/1x9ziNeaz6auNChIHnMI8U6kS7knTr3byy_YBGfQaoUA/edit#gid=1861303593,2000000.0,Bangalore,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2018, 
Colive.in,Consumer,Seed,1800000.0,Bangalore,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,2018, 
Agricxlab Private Limited,"B2B, Farming, Marketplace",Seed,500000.0,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,2018, 
Corefactors,—,Seed,0.0,Bangalore,"Corefactors is a leading campaign management, business communication and analytics company.",2018,NUL
Fincash.com,Wealth Management,Seed,150000.0,Mumbai,A startup in the personal finance space in India .,2018, 
Pandorum Technologies,Biotechnology,Series A,3600000.0,Bengaluru,Bengaluru based biotech startup.,2018, 
Shirsa Labs,"Education, Gaming, Training",Seed,500000.0,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,2018, 
PetSutra,Veterinary,Seed,,Gurgaon,Gurugram-based Online petcare platform.,2018,INR
Awaaz De,"Internet, Mobile, Social Entrepreneurship, Telecommunications, Wireless",Angel,0.0,Ahmedabad,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,2018,NUL
PinkBlue,"Health Care, Hospital, Supply Chain Management",Seed,300000.0,Bangalore,PinkBlue.in - Super-efficient supply-chain for clinical supplies,2018, 
Eduvanz,"Finance, Financial Services",Angel,500000.0,Mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",2018, 
